Dataset,Model,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
iTunes-Amazon,SVM,0.12706818181817814,0.18943403547672008,0.1245526315789475,0.19703103913630227,0.29406873614190676,0.1477272727272727,0.8990825688073395,0.9423076923076923,0.8596491228070176,0.8,0.8421052631578947,0.7777777777777778,0.05668016194331982,0.022727272727272707,0.022727272727272707,0.9357798165137615,0.9423076923076923,0.9298245614035088,0.851063829787234,0.8421052631578947,0.8571428571428571,0.9598012646793135,0.9423503325942351,0.9786585365853658,0.03630820399113077
Fodors-Zagat,DITTO,0.06921052631579014,0.0693742732744276,0.022993006993007048,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.0,0.0,0.0,0.8835978835978836,0.9090909090909091,0.8782051282051282,0.0,0.0,0.0,0.9997278170930866,1.0,0.9996158278908951,0.00038417210910490773
Fodors-Zagat,LinReg,0.0,0.0,0.037556390977443656,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03759398496240601,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DBLP-ACM,EMTransformer,0.005551681039869982,0.004638529891139679,0.04282638977707389,0.042896570293830566,0.004521446306515187,0.0053743282089738775,0.9963606955115245,0.9954337899543378,0.9965601965601966,0.9898534385569335,0.9841269841269841,0.9908015768725361,0.042896570293830566,0.004521446306515187,0.0053743282089738775,0.9963606955115245,0.9954337899543378,0.9965601965601966,0.9898534385569335,0.9841269841269841,0.9908015768725361,0.9994616351195946,0.999957671957672,0.999343038589342,0.0006146333683300087
DBLP-GoogleScholar,HierGAT,0.03458750000000001,0.0297137644932386,0.045486382897265566,0.04659556781501337,0.023548254761624254,0.03535353535353536,0.9768373389063044,0.966044142614601,0.9780710265864545,0.9375293565054016,0.8780487804878049,0.9424936386768448,0.04028510268302672,0.01535417262326877,0.01085858585858579,0.9623824451410659,0.969439728353141,0.9615757810983893,0.889795918367347,0.88,0.8906077348066298,0.9968013858660862,0.993664047151277,0.9970936848669253,0.0034296377156483038
iTunes-Amazon,DITTO,0.23181250000000148,0.23251981707317176,0.1152483130904163,0.12348178137651819,0.2727272727272727,0.2727272727272727,0.9357798165137615,0.9038461538461539,0.9649122807017544,0.8727272727272727,0.7619047619047619,0.9411764705882353,0.12348178137651819,0.2727272727272727,0.2727272727272727,0.9357798165137615,0.9038461538461539,0.9649122807017544,0.8727272727272727,0.7619047619047619,0.9411764705882353,0.992773261065944,0.9822616407982261,1.0,0.017738359201773912
Amazon-Google,HierGAT,0.1732545045045038,0.21574988503106074,0.11096891903105865,0.11104531132519092,0.21597661491278508,0.17342342342342343,0.9437418229393807,0.9882629107981221,0.9335832886984468,0.7306889352818372,0.7368421052631579,0.7304347826086957,0.08146055407610814,0.21904624989731364,0.1959459459459459,0.9428696031399912,0.9835680751173709,0.9335832886984468,0.6828087167070218,0.5882352941176471,0.6868686868686869,0.9675408774485996,0.961755233494364,0.9658533913853061,0.0040981578909421446
Beer,DeepMatcher,0.23975555555555694,0.3881484126984106,0.26670109289617705,0.26721311475409837,0.5365079365079365,0.4888888888888888,0.945054945054945,0.9508196721311475,0.9333333333333333,0.8,0.5714285714285714,0.8888888888888888,0.06666666666666667,0.2222222222222222,0.2222222222222222,0.8681318681318682,0.9180327868852459,0.7666666666666667,0.25,0.0,0.36363636363636365,0.9712430426716141,0.9785714285714286,0.9735449735449735,0.005026455026455157
Amazon-Google,EMTransformer,0.20474324324324492,0.23307243285309676,0.09438092543836432,0.0944411334998026,0.23129028327918244,0.20270270270270274,0.9459223724378544,0.9835680751173709,0.9373326191751473,0.7232142857142857,0.631578947368421,0.7272727272727273,0.09336989622074529,0.2300744778080579,0.20270270270270274,0.9467945922372438,0.9835680751173709,0.9384038564542047,0.726457399103139,0.631578947368421,0.7306791569086651,0.9462885476727148,0.9628623188405797,0.9424231222103563,0.020439196630223422
DBLP-ACM,LogReg,0.013458442694663186,0.014993465208021911,0.047115336631774994,0.04830197569923597,0.01117199044194439,0.0053743282089738775,0.9919126566922766,0.9954337899543378,0.9911547911547911,0.977728285077951,0.9841269841269841,0.9766839378238342,0.050350599665668155,0.05853636493745418,0.05611798525184353,0.9842296805499393,0.9817351598173516,0.9847665847665847,0.9544924154025671,0.9322033898305084,0.9580514208389715,0.9989765517118893,0.9998730158730158,0.9988066787903024,0.00106633708271342
